2009,23,2009. évi I. törvény,A Magyar Honvédség hivatásos és szerződéses állományú katonáinak jogállásáról szóló 2001. évi XCV. törvénymódosításáról
2009,27,2009. évi II. törvény,A Magyar Köztársaság és Bosznia és Hercegovina között a társadalombiztosításról és a szociális biztonságról szóló Egyezmény kihirdetéséről
2009,28,2009. évi III. törvény,"A Genfben 2000. május 26. napján kelt, a Veszélyes Áruk Nemzetközi Belvízi Szállításáról szóló Európai Megállapodás (ADN) kihirdetéséről"
2009,28,2009. évi V. törvény,"Egyes, a vállalkozásokat korlátozó törvényi rendelkezések hatályon kívül helyezéséről"
2009,30,2009. évi VI. törvény,A Módosított Európai Szociális Karta kihirdetéséről
2009,35,2009. évi VII. törvény,Az Európai Közösség létrehozásáról szóló szerződésnek az áruk szabad áramlását biztosító rendelkezéseihez kapcsolódó kölcsönös elismerés alkalmazásáról
2009,35,2009. évi VIII. törvény,"A Magyar Köztársaság Kormánya és az Albán Köztársaság Kormánya között az 1991. augusztus 31. napján kötött vízummegállapodás, illetve a vízummegállapodás módosításáról szóló, jegyzékváltás útján létrejött megállapodások kihirdetéséről"
2009,35,2009. évi IX. törvény,A nemzetközi magánjogról szóló 1979. évi 13. törvényerejű rendelet módosításáról
2009,38,2009. évi X. törvény,"Az egyrészről az Európai Közösség és tagállamai, másrészről a Kínai Népköztársaság Kormánya közötti, a tengeri közlekedésről szóló megállapodás és az azt módosító jegyzőkönyv kihirdetéséről"
2009,38,2009. évi XI. törvény,A Magyar Köztársaság Kormánya és az Egyiptomi Arab Köztársaság Kormánya között a diplomata útlevéllel rendelkező állampolgáraik kölcsönös vízummentességéről szóló megállapodás kihirdetéséről
2009,40,2009. évi XII. törvény,"Az államhatárt, az államhatár vonalának megállapítását tartalmazó egyes nemzetközi szerződések és határokmányok kihirdetéséről"
2009,43,2009. évi XIII. törvény,A pénzügyi közvetítőrendszer felügyeletét érintő egyes törvények módosításáról
2009,43,2009. évi XIV. törvény,A tisztességtelen piaci magatartás és a versenykorlátozás tilalmáról szóló 1996. évi LVII. törvénymódosításáról
2009,43,2009. évi XV. törvény,"A hontalanság eseteinek csökkentéséről szóló, 1961. augusztus 30-án, New Yorkban elfogadott Egyezmény kihirdetéséről"
2009,43,2009. évi XVI. törvény,"Egyrészről az Európai Közösség és tagállamai, másrészről Elefántcsontpart közötti átmeneti gazdasági partnerségi megállapodás kihirdetéséről"
2009,44,2009. évi XVII. törvény,A Magyar Köztársaság 2008. évi költségvetéséről szóló 2007. évi CLXIX. törvénymódosításáról
2009,44,2009. évi XVIII. törvény,A Magyar Fejlesztési Bank Részvénytársaságról szóló 2001. évi XX. törvénymódosításáról
2009,44,2009. évi XIX. törvény,"A környezetvédelmi termékdíjról, továbbá egyes termékek környezetvédelmi termékdíjáról szóló 1995. évi LVI. törvénymódosításáról"
2009,44,2009. évi XX. törvény,A Magyar Tudományos Akadémiáról szóló 1994. évi XL.törvénymódosításáról
